Mobility,Resilience,Recovery,pve,pvp
23,2,9,0.812500,1.000000
16,16,2,1.000000,0.625000
16,15,3,0.973214,0.651786
16,14,4,0.946429,0.678571
16,13,5,0.919643,0.705357
16,12,6,0.892857,0.732143
16,11,7,0.866071,0.758929
16,10,8,0.839286,0.785714
16,9,9,0.812500,0.812500
16,8,10,0.785714,0.839286
16,7,11,0.758929,0.866071
16,6,12,0.732143,0.892857
16,5,13,0.705357,0.919643
16,4,14,0.678571,0.946429
16,3,15,0.651786,0.973214
16,2,16,0.625000,1.000000
9,23,2,1.000000,0.437500
9,22,3,0.973214,0.464286
9,21,4,0.946429,0.491071
9,20,5,0.919643,0.517857
9,19,6,0.892857,0.544643
9,18,7,0.866071,0.571429
9,17,8,0.839286,0.598214
9,16,9,0.812500,0.625000
9,15,10,0.785714,0.651786
9,14,11,0.758929,0.678571
9,13,12,0.732143,0.705357
9,12,13,0.705357,0.732143
9,11,14,0.678571,0.758929
9,10,15,0.651786,0.785714
9,9,16,0.625000,0.812500
9,8,17,0.598214,0.839286
9,7,18,0.571429,0.866071
9,6,19,0.544643,0.892857
9,5,20,0.517857,0.919643
9,4,21,0.491071,0.946429
9,3,22,0.464286,0.973214
9,2,23,0.437500,1.000000
2,23,9,0.812500,0.437500
3,23,8,0.839286,0.437500
4,23,7,0.866071,0.437500
5,23,6,0.892857,0.437500
6,23,5,0.919643,0.437500
7,23,4,0.946429,0.437500
8,23,3,0.973214,0.437500
9,23,2,1.000000,0.437500
2,16,16,0.625000,0.625000
3,16,15,0.651786,0.625000
4,16,14,0.678571,0.625000
5,16,13,0.705357,0.625000
6,16,12,0.732143,0.625000
7,16,11,0.758929,0.625000
8,16,10,0.785714,0.625000
9,16,9,0.812500,0.625000
10,16,8,0.839286,0.625000
11,16,7,0.866071,0.625000
12,16,6,0.892857,0.625000
13,16,5,0.919643,0.625000
14,16,4,0.946429,0.625000
15,16,3,0.973214,0.625000
16,16,2,1.000000,0.625000
2,9,23,0.437500,0.812500
3,9,22,0.464286,0.812500
4,9,21,0.491071,0.812500
5,9,20,0.517857,0.812500
6,9,19,0.544643,0.812500
7,9,18,0.571429,0.812500
8,9,17,0.598214,0.812500
9,9,16,0.625000,0.812500
10,9,15,0.651786,0.812500
11,9,14,0.678571,0.812500
12,9,13,0.705357,0.812500
13,9,12,0.732143,0.812500
14,9,11,0.758929,0.812500
15,9,10,0.785714,0.812500
16,9,9,0.812500,0.812500
17,9,8,0.839286,0.812500
18,9,7,0.866071,0.812500
19,9,6,0.892857,0.812500
20,9,5,0.919643,0.812500
21,9,4,0.946429,0.812500
22,9,3,0.973214,0.812500
23,9,2,1.000000,0.812500
9,2,23,0.437500,1.000000
8,3,23,0.437500,0.973214
7,4,23,0.437500,0.946429
6,5,23,0.437500,0.919643
5,6,23,0.437500,0.892857
4,7,23,0.437500,0.866071
3,8,23,0.437500,0.839286
2,9,23,0.437500,0.812500
16,2,16,0.625000,1.000000
15,3,16,0.625000,0.973214
14,4,16,0.625000,0.946429
13,5,16,0.625000,0.919643
12,6,16,0.625000,0.892857
11,7,16,0.625000,0.866071
10,8,16,0.625000,0.839286
9,9,16,0.625000,0.812500
8,10,16,0.625000,0.785714
7,11,16,0.625000,0.758929
6,12,16,0.625000,0.732143
5,13,16,0.625000,0.705357
4,14,16,0.625000,0.678571
3,15,16,0.625000,0.651786
2,16,16,0.625000,0.625000
23,2,9,0.812500,1.000000
22,3,9,0.812500,0.973214
21,4,9,0.812500,0.946429
20,5,9,0.812500,0.919643
19,6,9,0.812500,0.892857
18,7,9,0.812500,0.866071
17,8,9,0.812500,0.839286
16,9,9,0.812500,0.812500
15,10,9,0.812500,0.785714
14,11,9,0.812500,0.758929
13,12,9,0.812500,0.732143
12,13,9,0.812500,0.705357
11,14,9,0.812500,0.678571
10,15,9,0.812500,0.651786
9,16,9,0.812500,0.625000
8,17,9,0.812500,0.598214
7,18,9,0.812500,0.571429
6,19,9,0.812500,0.544643
5,20,9,0.812500,0.517857
4,21,9,0.812500,0.491071
3,22,9,0.812500,0.464286
2,23,9,0.812500,0.437500
