Mobility,Resilience,Recovery,pve,pvp
23,9,2,0.250000,0.187500
22,10,2,0.285714,0.214286
21,11,2,0.321429,0.241071
20,12,2,0.357143,0.267857
19,13,2,0.392857,0.294643
18,14,2,0.428571,0.321429
17,15,2,0.464286,0.348214
16,16,2,0.500000,0.375000
15,17,2,0.535714,0.401786
14,18,2,0.571429,0.428571
13,19,2,0.607143,0.455357
12,20,2,0.642857,0.482143
11,21,2,0.678571,0.508929
10,22,2,0.714286,0.535714
9,23,2,0.750000,0.562500
8,24,2,0.785714,0.589286
7,25,2,0.821429,0.616071
6,26,2,0.857143,0.642857
5,27,2,0.892857,0.669643
4,28,2,0.928571,0.696429
3,29,2,0.964286,0.723214
2,30,2,1.000000,0.750000
2,30,2,1.000000,0.750000
2,29,3,0.991071,0.758929
2,28,4,0.982143,0.767857
2,27,5,0.973214,0.776786
2,26,6,0.964286,0.785714
2,25,7,0.955357,0.794643
2,24,8,0.946429,0.803571
2,23,9,0.937500,0.812500
2,22,10,0.928571,0.821429
2,21,11,0.919643,0.830357
2,20,12,0.910714,0.839286
2,19,13,0.901786,0.848214
2,18,14,0.892857,0.857143
2,17,15,0.883929,0.866071
2,16,16,0.875000,0.875000
2,15,17,0.866071,0.883929
2,14,18,0.857143,0.892857
2,13,19,0.848214,0.901786
2,12,20,0.839286,0.910714
2,11,21,0.830357,0.919643
2,10,22,0.821429,0.928571
2,9,23,0.812500,0.937500
2,8,24,0.803571,0.946429
2,7,25,0.794643,0.955357
2,6,26,0.785714,0.964286
2,5,27,0.776786,0.973214
2,4,28,0.767857,0.982143
2,3,29,0.758929,0.991071
2,2,30,0.750000,1.000000
2,2,30,0.750000,1.000000
3,2,29,0.723214,0.964286
4,2,28,0.696429,0.928571
5,2,27,0.669643,0.892857
6,2,26,0.642857,0.857143
7,2,25,0.616071,0.821429
8,2,24,0.589286,0.785714
9,2,23,0.562500,0.750000
10,2,22,0.535714,0.714286
11,2,21,0.508929,0.678571
12,2,20,0.482143,0.642857
13,2,19,0.455357,0.607143
14,2,18,0.428571,0.571429
15,2,17,0.401786,0.535714
16,2,16,0.375000,0.500000
17,2,15,0.348214,0.464286
18,2,14,0.321429,0.428571
19,2,13,0.294643,0.392857
20,2,12,0.267857,0.357143
21,2,11,0.241071,0.321429
22,2,10,0.214286,0.285714
23,2,9,0.187500,0.250000
24,2,8,0.160714,0.214286
25,2,7,0.133929,0.178571
26,2,6,0.107143,0.142857
27,2,5,0.080357,0.107143
28,2,4,0.053571,0.071429
29,2,3,0.026786,0.035714
30,2,2,0.000000,0.000000
23,9,2,0.250000,0.187500
23,8,3,0.241071,0.196429
23,7,4,0.232143,0.205357
23,6,5,0.223214,0.214286
23,5,6,0.214286,0.223214
23,4,7,0.205357,0.232143
23,3,8,0.196429,0.241071
23,2,9,0.187500,0.250000
16,16,2,0.500000,0.375000
16,15,3,0.491071,0.383929
16,14,4,0.482143,0.392857
16,13,5,0.473214,0.401786
16,12,6,0.464286,0.410714
16,11,7,0.455357,0.419643
16,10,8,0.446429,0.428571
16,9,9,0.437500,0.437500
16,8,10,0.428571,0.446429
16,7,11,0.419643,0.455357
16,6,12,0.410714,0.464286
16,5,13,0.401786,0.473214
16,4,14,0.392857,0.482143
16,3,15,0.383929,0.491071
16,2,16,0.375000,0.500000
9,23,2,0.750000,0.562500
9,22,3,0.741071,0.571429
9,21,4,0.732143,0.580357
9,20,5,0.723214,0.589286
9,19,6,0.714286,0.598214
9,18,7,0.705357,0.607143
9,17,8,0.696429,0.616071
9,16,9,0.687500,0.625000
9,15,10,0.678571,0.633929
9,14,11,0.669643,0.642857
9,13,12,0.660714,0.651786
9,12,13,0.651786,0.660714
9,11,14,0.642857,0.669643
9,10,15,0.633929,0.678571
9,9,16,0.625000,0.687500
9,8,17,0.616071,0.696429
9,7,18,0.607143,0.705357
9,6,19,0.598214,0.714286
9,5,20,0.589286,0.723214
9,4,21,0.580357,0.732143
9,3,22,0.571429,0.741071
9,2,23,0.562500,0.750000
2,23,9,0.937500,0.812500
3,23,8,0.910714,0.776786
4,23,7,0.883929,0.741071
5,23,6,0.857143,0.705357
6,23,5,0.830357,0.669643
7,23,4,0.803571,0.633929
8,23,3,0.776786,0.598214
9,23,2,0.750000,0.562500
2,16,16,0.875000,0.875000
3,16,15,0.848214,0.839286
4,16,14,0.821429,0.803571
5,16,13,0.794643,0.767857
6,16,12,0.767857,0.732143
7,16,11,0.741071,0.696429
8,16,10,0.714286,0.660714
9,16,9,0.687500,0.625000
10,16,8,0.660714,0.589286
11,16,7,0.633929,0.553571
12,16,6,0.607143,0.517857
13,16,5,0.580357,0.482143
14,16,4,0.553571,0.446429
15,16,3,0.526786,0.410714
16,16,2,0.500000,0.375000
2,9,23,0.812500,0.937500
3,9,22,0.785714,0.901786
4,9,21,0.758929,0.866071
5,9,20,0.732143,0.830357
6,9,19,0.705357,0.794643
7,9,18,0.678571,0.758929
8,9,17,0.651786,0.723214
9,9,16,0.625000,0.687500
10,9,15,0.598214,0.651786
11,9,14,0.571429,0.616071
12,9,13,0.544643,0.580357
13,9,12,0.517857,0.544643
14,9,11,0.491071,0.508929
15,9,10,0.464286,0.473214
16,9,9,0.437500,0.437500
17,9,8,0.410714,0.401786
18,9,7,0.383929,0.366071
19,9,6,0.357143,0.330357
20,9,5,0.330357,0.294643
21,9,4,0.303571,0.258929
22,9,3,0.276786,0.223214
23,9,2,0.250000,0.187500
9,2,23,0.562500,0.750000
8,3,23,0.598214,0.776786
7,4,23,0.633929,0.803571
6,5,23,0.669643,0.830357
5,6,23,0.705357,0.857143
4,7,23,0.741071,0.883929
3,8,23,0.776786,0.910714
2,9,23,0.812500,0.937500
16,2,16,0.375000,0.500000
15,3,16,0.410714,0.526786
14,4,16,0.446429,0.553571
13,5,16,0.482143,0.580357
12,6,16,0.517857,0.607143
11,7,16,0.553571,0.633929
10,8,16,0.589286,0.660714
9,9,16,0.625000,0.687500
8,10,16,0.660714,0.714286
7,11,16,0.696429,0.741071
6,12,16,0.732143,0.767857
5,13,16,0.767857,0.794643
4,14,16,0.803571,0.821429
3,15,16,0.839286,0.848214
2,16,16,0.875000,0.875000
23,2,9,0.187500,0.250000
22,3,9,0.223214,0.276786
21,4,9,0.258929,0.303571
20,5,9,0.294643,0.330357
19,6,9,0.330357,0.357143
18,7,9,0.366071,0.383929
17,8,9,0.401786,0.410714
16,9,9,0.437500,0.437500
15,10,9,0.473214,0.464286
14,11,9,0.508929,0.491071
13,12,9,0.544643,0.517857
12,13,9,0.580357,0.544643
11,14,9,0.616071,0.571429
10,15,9,0.651786,0.598214
9,16,9,0.687500,0.625000
8,17,9,0.723214,0.651786
7,18,9,0.758929,0.678571
6,19,9,0.794643,0.705357
5,20,9,0.830357,0.732143
4,21,9,0.866071,0.758929
3,22,9,0.901786,0.785714
2,23,9,0.937500,0.812500
